KIC 8098181,188,19,1.003,nan,5076,186,4.56,0.23,0.07,0.14,12.858,0.100,3.280197199,0.145720194
Kepler-533,2.6,1,35.94367504,0.739940056,4790.3,60,4.549,0.1,0.07,0.04,13.933,0.100,3.271943307,0.015568284
Kepler-137,0.1,1,20.5119224,8.240030203,5236.9,60,4.495,0.1,0.046,0.04,12.99,0.100,3.271755829,0.019870503
BD+40 3638,8.7,1,7.897235578,0.04623931,6219.8,60,4.213,0.1,0.131,0.04,11.018,0.100,3.263838525,0.028876867
Kepler-100,2.7,1,25.77849181,0.712382919,5854.3,60,4.073,0.1,0.102,0.04,11.197,0.100,3.253697582,0.01875313
KOI-1985,2.7,1,25.791,0.223,4949.8,60,4.638,0.1,0.014,0.04,13.708,0.100,3.241302972,0.01468791
Kepler-48,0.3,1,38.34837241,3.853812385,5234.8,60,4.459,0.1,0.256,0.04,13.04,0.100,3.231323788,0.019139857
Kepler-1039,3,1,34.921,6.985,4766.3,60,4.567,0.1,0.134,0.04,14.145,0.100,3.229516722,0.020369992
Kepler-539,3,1,11.769,0.016,5815.7,60,4.597,0.1,-0.016,0.04,12.391,0.100,3.225735247,0.037082322
Kepler-211,2.8,1,13.845,0.007,5193.4,60,4.63,0.1,0.181,0.04,13.283,0.100,3.203716131,0.018018258
KOI-2771,4.2,1,2.664,0.002,6164.8,60,4.438,0.1,-0.062,0.04,11.751,0.100,3.203495011,0.024162153
Kepler-909,5.3,1,11.78205781,0.144168763,6042.3,60,4.265,0.1,0.17,0.04,11.538,0.100,3.201258097,0.021643461
KOI-2522,2.5,1,38.5275944,0.457196424,4982.6,60,4.55,0.1,0.233,0.04,13.713,0.100,3.200112644,0.015640482
Kepler-1499,3.4,1,14.67908674,0.052741442,5042.1,60,4.619,0.1,0.193,0.04,13.509,0.100,3.198304472,0.016187753
TYC 3557-434-1,153,48,2.933,0.003,6398,108,4.11,0.12,-0.09,0.16,11.028,0.100,3.17725004,0.024233624
Kepler-1512,4.6,1,9.333065014,0.032137704,4807.8,60,4.678,0.1,0.105,0.04,13.393,0.100,3.171827653,0.240472566
Kepler-532,2.4,1,15.148,0.022,5120.1,60,4.676,0.1,0.097,0.04,13.524,0.100,3.168166834,0.019671856
Kepler-482,2.2,1,23.40403453,11.29958381,4733.5,60,4.413,0.1,-0.273,0.04,13.779,0.100,3.165484658,0.022866169
KOI-4407,7.5,1,19.41328531,0.096599034,6401,60,4.244,0.1,-0.166,0.04,11.179,0.100,3.156743544,0.023159356
KIC 5869314,227,77,16.588,0.011,4045,145,4.64,0.2,-0.23,0.14,14.634,0.100,3.105597945,0.021638937
Kepler-1444,4.9,1,12.97842954,6.560945782,5875,60,4.571,0.1,0.215,0.04,12.325,0.100,3.09939698,0.020605503
Kepler-1507,2.8,1,11.13182241,0.089925107,5296.8,60,4.56,0.1,0.047,0.04,13.136,0.100,3.091440448,0.014268237
Kepler-884,3.1,1,22.986,0.026,5746.9,60,4.386,0.1,-0.088,0.04,13.069,0.100,3.089273343,0.230805556
KIC 11819949,158,52,2.303,0.004,5684,154,4.35,0.18,-0.24,0.24,12.279,0.100,3.059451731,0.021133509
KOI-3991,6.6,1,5.205,nan,5605.9,60,4.619,0.1,-0.023,0.04,13.14,0.100,3.059126962,0.106750804
KOI-3196,3.7,1,19.57880626,5.031159449,6108.8,60,4.275,0.1,-0.006,0.04,11.525,0.100,3.051414224,0.021028967
Kepler-1558,3.7,1,12.15541213,0.038665983,5091.9,60,4.645,0.1,0.244,0.04,13.632,0.100,3.041071126,0.014325044
KOI-687,4.5,1,19.025,0.065,5879.3,60,4.389,0.1,0.084,0.04,13.813,0.100,3.030951386,0.246561651
Kepler-973,2,1,25.75108105,0.178154074,5180.9,60,4.592,0.1,0.044,0.04,13.218,0.100,3.01592091,0.042804533
KOI-3218,3.9,1,14.38523868,0.122403829,5962.4,60,4.399,0.1,0.024,0.04,12.107,0.100,2.997874669,0.019061996
Kepler-197,0.6,1,21.69931715,2.464343211,5944.9,60,4.32,0.1,-0.401,0.04,11.811,0.100,2.996280539,0.021143379
KOI-4129,1.7,1,33.62705852,0.482248505,5078.5,60,4.51,0.1,0.147,0.04,13.506,0.100,2.995605637,0.021083754
KIC 11152057,218,32,23.765,0.073,4993,203,3.37,0.45,-0.02,0.12,13.283,0.100,2.986608956,0.020137322
Kepler-509,2.4,1,19.22051589,1.66341356,5951.6,60,4.283,0.1,-0.025,0.04,11.854,0.100,2.979634739,0.033578965
KIC 6390424,194,25,6.882,0.014,5704,118,4.31,0.15,-0.02,0.19,13.259,0.100,2.967231099,0.012723609
Kepler-134,2,1,15.72,1.388,5917.6,60,4.491,0.1,-0.167,0.04,12.324,0.100,2.958124722,0.021136919
2MASS J19284396+4112456,200,38,0.243,0.004,5621,173,4.25,0.24,0.04,0.19,12.976,0.100,2.958094004,0.020818078
KOI-8,3,1,15.32467755,0.100056611,5891.1,60,4.535,0.1,-0.066,0.04,12.45,0.100,2.957999912,0.023823308
KIC 11455045,230,38,15.885,0.098,5063,219,4.35,0.4,-0.05,0.15,13.868,0.100,2.955672337,0.014909663
Kepler-1544,2.9,1,26.38874284,0.154263157,4852.2,60,4.606,0.1,0.01,0.04,14.061,0.100,2.955397234,0.014657179
KOI-650,0.8,1,36.367,0.522,5058.3,60,4.526,0.1,0.046,0.04,13.594,0.100,2.951598164,0.013810725
Kepler-518,1.5,1,16.77909258,0.151058631,5801.6,60,4.556,0.1,-0.14,0.04,12.549,0.100,2.930796136,0.025191922
Kepler-971,7.1,1,6.248,0.001,5516.9,60,4.665,0.1,0.166,0.04,13.237,0.100,2.926819907,0.057443366
Kepler-407,0.6,1,26.34302,6.795184096,5555.6,60,4.253,0.1,0.411,0.04,12.521,0.100,2.926617117,0.021783974
Kepler-808,2.4,1,38.284,4.447,4758.6,60,4.521,0.1,0.034,0.04,14.285,0.100,2.913548317,0.126134677
KOI-2583,0.4,1,27.09435343,6.966135806,5605.4,60,4.398,0.1,0.109,0.04,12.623,0.100,2.904100525,0.02151369
