Kepler-185,2,1.2,1,31.78,0.665,5037,60,4.694,0.1,-0.142,0.04,14.458,0.1,2.113855882,0.021402544
Kepler-512,1,4.4,1,12.103,0.249,6050.9,60,4.359,0.1,0.042,0.04,12.674,0.1,2.110980883,0.021982639
Kepler-997,1,6.6,1,11.72417565,0.103151464,6059,60,4.148,0.1,0.058,0.04,11.894,0.1,2.110165012,0.02560274
Kepler-513,1,1.8,1,20.93830227,12.84805006,5747.5,60,4.326,0.1,-0.112,0.04,12.935,0.1,2.106846495,0.02030412
Kepler-1341,1,2.5,1,44.549,5.433,4683,60,4.423,0.1,0.285,0.04,15.028,0.1,2.067943268,0.021599641
Kepler-89,4,7.4,1,21.86141887,0.68324743,6181.2,60,4.234,0.1,0.07,0.04,12.205,0.1,2.067598563,0.021583481
Kepler-92,3,4,1,17.00241149,0.500936243,5945.7,60,4.058,0.1,0.19,0.04,11.565,0.1,2.063474112,0.023329989
Kepler-1163,1,7.9,1,17.77080872,1.689498965,6207.9,60,4.21,0.1,0.024,0.04,12.168,0.1,2.060487149,0.019712239
Kepler-1315,1,2.4,1,38.16260337,3.761913308,4780.2,60,4.446,0.1,0.24,0.04,14.975,0.1,2.051042947,0.024562436
Kepler-1121,1,8.8,1,7.425,0.128,6212.5,60,4.207,0.1,0.196,0.04,12.071,0.1,2.045771281,0.018878439
Kepler-1040,1,2.2,1,18.792,0.033,5696.5,60,4.475,0.1,0.089,0.04,13.328,0.1,2.045305106,0.013857216
Kepler-215,4,0.6,1,19.48760343,1.454653115,5647.8,60,4.554,0.1,-0.435,0.04,13.58,0.1,2.028813541,0.015354071
Kepler-949,1,2.5,1,23.948,0.037,5129.9,60,4.685,0.1,-0.013,0.04,14.548,0.1,2.028589887,0.022622897
Kepler-431,3,5.2,1,16.16196451,3.088742294,5976.1,60,4.099,0.1,-0.012,0.04,11.973,0.1,2.026578566,0.019793885
Kepler-1197,1,3.9,1,18.057,0.013,4761.7,60,4.574,0.1,0.165,0.04,15.13,0.1,2.025210172,0.027306271
