Simbad,vsini,e_vsini
TYC 9173-151-1,5.098784884,0.464953295
TYC 9173-12-1,5.66744936,1.084892089
TYC 9172-815-1,6.720204022,0.598182131
TYC 9172-697-1,4.70567424,0.872026495
TYC 9172-539-1,6.775778598,0.547357936
TYC 9172-537-1,7.920813706,2
TYC 9172-501-1,5.476233416,1.983862601
TYC 9171-1374-1,4.947709627,0.701805452
TYC 9169-669-1,9.404884057,1.900366807
TYC 9169-498-1,5.898336994,0.601663336
TYC 9169-432-1,8.403210943,1.907928362
TYC 9169-153-1,4.539975473,2
TYC 9169-1497-1,4.22101813,1.291122096
TYC 9169-1488-1,8.298745244,1.333194896
TYC 9169-1278-1,8.579415149,1.072137409
TYC 9169-1092-1,8.973062019,2
TYC 9169-1025-1,18.82911656,1.461438901
TYC 9168-9-1,5.194845479,0.524744654
TYC 9168-208-1,5.57849122,0.495870714
TYC 9168-119-1,5.887717719,0.681439923
TYC 9167-900-1,5.788971748,0.482664132
TYC 9167-899-1,5.338919931,0.552166574
TYC 9167-895-1,5.008718921,0.805573357
TYC 9167-894-1,4.100389457,2
TYC 9167-856-1,17.42887637,0.933710401
TYC 9167-841-1,4.877443842,1.335734949
TYC 9167-836-1,6.031827137,0.663143373
TYC 9167-757-1,7.202737267,1.150941943
TYC 9167-671-1,8.837657216,2
TYC 9167-660-1,8.992155336,0.673938286
TYC 9167-460-1,13.05698338,2
TYC 9167-162-1,8.991395268,2
TYC 9166-250-1,5.612521094,0.549588569
TYC 9165-978-1,8.824353451,1.706709631
TYC 9165-878-1,9.32732713,2
TYC 9165-774-1,4.542135393,2
TYC 9165-310-1,10.15722593,2
TYC 9165-201-1,8.638934307,1.580152051
TYC 9165-1064-1,7.537479876,0.610228724
TYC 9164-861-1,5.647180365,0.912010681
TYC 9164-1954-1,8.786633293,2
TYC 9164-1481-1,11.80941287,1.272695021
TYC 9164-1291-1,4.448442901,1.978551573
TYC 9164-1017-1,5.826722164,0.649139239
TYC 9163-868-1,5.167624173,0.52585778
TYC 9162-872-1,5.778227188,2
TYC 9162-263-1,5.416673803,0.786884899
TYC 9162-236-1,6.146805313,0.853692738
TYC 9161-718-1,6.665504039,1.418124089
TYC 9161-1087-1,5.366806958,2
TYC 9160-96-1,6.672245759,0.470849377
TYC 9160-918-1,6.378445681,0.571329551
TYC 9160-823-1,9.430980407,0.757496768
TYC 9160-818-1,5.382490133,2
TYC 9160-725-1,4.6324371,0.527702045
TYC 9160-689-1,6.023397161,0.46596873
TYC 9160-575-1,8.222572605,0.59811026
TYC 9160-552-1,6.84320702,0.517766454
TYC 9160-461-1,6.232094205,0.481720784
TYC 9160-355-1,8.06755966,2
TYC 9160-309-1,9.490672694,0.739175004
TYC 9160-289-1,6.95980571,0.495955989
TYC 9160-197-1,6.03078897,0.480673628
TYC 9160-1833-1,6.629844917,0.868821739
TYC 9160-1815-1,7.580860694,1.017467394
TYC 9160-18-1,6.718690277,0.635877102
TYC 9160-1797-1,4.077015189,1.315125741
TYC 9160-1782-1,5.072386185,0.657913587
TYC 9160-1739-1,6.713094116,0.501852335
TYC 9160-1703-1,5.890226625,1.572304945
TYC 9160-1681-1,7.581328417,2
TYC 9160-159-1,5.55047434,0.466961055
TYC 9160-1574-1,10.51669225,0.487616772
TYC 9160-1392-1,5.174852527,0.900454329
TYC 9160-1358-1,6.094253339,2
TYC 9160-1356-1,5.831521769,0.470171194
TYC 9160-1327-1,8.550213595,0.474115573
TYC 9160-1273-1,9.239506971,1.022920644
TYC 9160-1202-1,5.143310114,0.61788983
TYC 9160-1144-1,4.899336211,0.541453954
TYC 9160-1024-1,8.54465032,0.713018027
TYC 9157-802-1,5.823277249,0.636570871
TYC 9157-76-1,7.513736613,0.833030109
TYC 9157-526-1,7.688206776,1.82802131
