Name,Prot,e_prot
KIC 11904824,13.8,0.56
KIC 11904659,28.19,2.13
KIC 11903377,30.21,2.71
KIC 11867785,37.45,4.55
KIC 11867251,43.02,4.69
KIC 11862008,28.57,3.56
KIC 11861787,88.46,8.02
KIC 11855689,42.89,2.93
KIC 11855446,31.93,2.85
KIC 11853035,17.97,1.79
KIC 11820904,21.81,2.25
KIC 11804960,12.18,0.43
KIC 11804412,20.35,1.24
KIC 11802460,16.19,1.02
KIC 11760498,29.79,2.72
KIC 11759120,28.78,2.35
KIC 11758692,44.85,5.43
KIC 11754177,16.88,1.33
KIC 11752713,14.39,1.05
KIC 11751833,38.5,4.62
KIC 11722415,11.06,0.83
KIC 11703289,29.8,3.21
KIC 11702635,20.78,1.61
KIC 11702583,24.71,2.3
KIC 11668411,25.94,2.06
KIC 11667701,34.7,3.94
KIC 11663245,22.42,1.91
KIC 11661562,14.19,1.93
KIC 11658621,21.21,2.69
KIC 11619365,17.11,1.55
KIC 11610389,22.72,1.52
KIC 11605487,29.79,3.3
KIC 11598197,17.23,1.29
KIC 11559047,31.06,3.08
KIC 11554307,10.83,0.82
KIC 11551646,26.12,2.69
KIC 11548399,10.12,0.75
KIC 11547197,28.78,2.49
KIC 11507962,33.99,3.09
KIC 11507286,25.76,2.01
KIC 11505723,21.66,1.91
KIC 11499210,19.52,1.77
KIC 11498836,21.51,1.78
KIC 11497236,19.52,1.34
KIC 11494885,15.96,2.26
KIC 11460019,23.7,1.92
KIC 11455123,21.21,1.57
KIC 11453838,14,1.4
KIC 11450833,13.33,1.41
KIC 11450740,21.51,1.81
KIC 11449808,22.27,2.16
KIC 11446824,13.79,0.45
KIC 11446387,10.1,0.81
KIC 11445144,14.59,1.1
KIC 11444881,21.66,2.37
KIC 11443541,23.37,2.67
KIC 11412352,25.76,3.53
KIC 11404924,15.53,1.37
KIC 11400758,91.58,9.49
KIC 11400513,13.43,1.14
KIC 11395961,19.25,1.5
KIC 11395791,24.03,1.6
KIC 11389883,25.94,2.11
KIC 11389719,20.92,1.94
KIC 11352256,24.37,2.83
KIC 11348285,34.95,3.01
KIC 11348237,24.03,1.88
KIC 11341584,21.8,1.7
KIC 11341234,43.32,5.02
KIC 11338956,5.27,0.38
KIC 11338236,24.71,3.3
KIC 11308105,26.12,2.14
KIC 11306018,22.12,1.83
KIC 11295772,20.49,1.72
KIC 11295715,32.6,3.65
KIC 11286597,31.49,2.95
KIC 11242926,39.04,5.11
KIC 11236090,20.78,2.72
KIC 11233486,34.72,2.72
KIC 11233075,17.23,1.26
KIC 11197079,24.71,2.06
KIC 11196336,47.4,7.56
KIC 11189899,10.82,0.69
KIC 11188762,18.09,1.41
KIC 11187753,18.86,1.76
KIC 11183007,32.15,2.43
KIC 11182151,32.39,5.15
KIC 11179443,27.23,1.95
KIC 11179204,13.71,1.01
KIC 11138740,21.67,2.02
KIC 11138259,22.11,2.12
KIC 11136951,13.15,0.96
KIC 11136865,22.42,1.93
KIC 11134144,21.07,2.33
KIC 11129587,10.65,0.6
KIC 11128024,37.45,3.31
KIC 11127847,27.23,2.98
KIC 11126343,87.85,8.74
KIC 11125598,28.19,3.13
KIC 11122394,31.71,2.38
KIC 11121742,9.5,0.72
KIC 11091472,32.16,4.18
KIC 11090612,35.93,4.49
KIC 11084001,36.93,3.33
KIC 11081861,39.04,3.72
KIC 11073964,9.76,0.71
KIC 11072618,20.07,1.67
KIC 11072100,23.87,1.83
KIC 11067741,31.27,1.11
KIC 11037562,27.62,2.69
KIC 11025737,26.48,2.49
KIC 11020086,25.59,2.17
