Name,P_rot,P_rot_err,Prot_errm,Prot_errp
TYC 3557-2030-1,3.048,,,
TYC 3557-1949-1,4.901,,,
TYC 3557-19-1,11.708,,,
TYC 3557-1875-1,16.638,,,
TYC 3557-1820-1,10.243,,,
TYC 3557-162-1,1.984,,,
TYC 3557-1617-1,2.018,,,
TYC 3557-1600-1,1.587,,,
TYC 3557-1509-1,5.737,,,
TYC 3557-1220-1,19.371,,,
TYC 3556-926-1,10.623,,,
TYC 3556-872-1,2.255,,,
TYC 3556-74-1,2.396,,,
TYC 3556-392-1,22.739,,,
TYC 3556-3537-1,1.436,,,
TYC 3556-3445-1,20.125,,,
TYC 3556-3383-1,8.824,,,
TYC 3556-3291-1,10.241,,,
TYC 3556-3274-1,4.56,,,
TYC 3556-3236-1,1.432,,,
TYC 3556-3163-1,3.88,,,
TYC 3556-3113-1,1.263,,,
TYC 3556-3106-1,2.826,,,
TYC 3556-3104-1,7.065,,,
TYC 3556-3025-1,6.945,,,
TYC 3556-2779-1,2.311,,,
TYC 3556-2756-1,4.86,,,
TYC 3556-2686-1,6.581,,,
TYC 3556-2683-1,3.192,,,
TYC 3556-2483-1,4.086,,,
TYC 3556-210-1,1.229,,,
TYC 3556-1985-1,7.537,,,
TYC 3556-1909-1,15.802,,,
TYC 3556-1905-1,2.101,,,
TYC 3556-1785-1,5.492,,,
TYC 3556-1751-1,1.597,,,
TYC 3556-174-1,3.944,,,
TYC 3556-154-1,2.439,,,
TYC 3556-1489-1,3.142,,,
TYC 3556-1463-1,3.475,,,
TYC 3556-143-1,6.555,,,
TYC 3556-1238-1,4.448,,,
TYC 3555-817-1,7.919,,,
TYC 3555-806-1,6.961,,,
TYC 3555-734-1,3.142,,,
TYC 3555-72-1,2.858,,,
TYC 3555-61-1,3.906,,,
TYC 3555-541-1,20.532,,,
TYC 3555-444-1,1.556,,,
TYC 3555-306-1,6.321,,,
TYC 3555-214-1,1.174,,,
TYC 3555-1408-1,4.741,,,
TYC 3555-1236-1,3.006,,,
TYC 3555-113-1,10.298,,,
TYC 3554-99-1,12.935,,,
TYC 3554-744-1,18.016,,,
TYC 3554-641-1,9.203,,,
TYC 3554-630-1,12.097,,,
TYC 3554-607-1,12.519,,,
TYC 3554-518-1,12.288,,,
TYC 3554-5-1,22.712,,,
TYC 3554-508-1,15.209,,,
TYC 3554-456-1,10.642,,,
TYC 3554-447-1,10.708,,,
TYC 3554-424-1,1.016,,,
TYC 3554-406-1,5.503,,,
TYC 3554-292-1,3.653,,,
TYC 3554-273-1,6.738,,,
TYC 3554-253-1,5.917,,,
TYC 3554-22-1,1.269,,,
TYC 3554-1762-1,17.516,,,
TYC 3553-243-1,1.549,,,
TYC 3551-827-1,1.569,,,
TYC 3551-732-1,17.49,,,
TYC 3551-61-1,2.056,,,
TYC 3551-295-1,1.224,,,
TYC 3551-2436-1,1.497,,,
TYC 3551-229-1,2.413,,,
TYC 3551-2268-1,1.614,,,
TYC 3551-2188-1,9.951,,,
TYC 3551-2158-1,24.255,,,
TYC 3551-2031-1,2.204,,,
TYC 3551-2016-1,4.78,,,
TYC 3551-1815-1,3.5,,,
TYC 3551-1435-1,4.649,,,
TYC 3551-1407-1,12.913,,,
TYC 3550-977-1,1.573,,,
TYC 3550-673-1,1.193,,,
TYC 3550-518-1,8.931,,,
TYC 3550-441-1,2.174,,,
TYC 3550-34-1,13.257,,,
TYC 3550-1768-1,2.238,,,
TYC 3550-1621-1,20.769,,,
TYC 3550-1511-1,1.981,,,
TYC 3550-1330-1,7.248,,,
TYC 3550-1167-1,11.233,,,
TYC 3549-88-1,1.08,,,
TYC 3549-411-1,12.667,,,
TYC 3549-2269-1,3.961,,,
TYC 3549-2100-1,11.469,,,
TYC 3549-1990-1,1.617,,,
TYC 3547-702-1,5.999,,,
TYC 3547-321-1,6.376,,,
TYC 3547-2893-1,15.849,,,
TYC 3547-2595-1,8.08,,,
TYC 3547-2541-1,1.395,,,
TYC 3547-2352-1,3.855,,,
TYC 3547-234-1,16.651,,,
TYC 3547-2287-1,3.253,,,
TYC 3547-2270-1,1.093,,,
TYC 3547-1770-1,1.305,,,
TYC 3547-1294-1,7.667,,,
TYC 3547-1185-1,15.711,,,
TYC 3547-1020-1,1.476,,,
TYC 3546-905-1,17.619,,,
TYC 3546-833-1,4.94,,,
TYC 3546-347-1,8.35,,,
TYC 3546-245-1,3.354,,,
TYC 3546-2310-1,9.668,,,
TYC 3546-2226-1,1.967,,,
TYC 3546-2210-1,4.083,,,
TYC 3546-2088-1,6.06,,,
TYC 3546-1999-1,12.723,,,
TYC 3546-1876-1,6.511,,,
TYC 3546-1861-1,3.707,,,
TYC 3546-1702-1,3.036,,,
TYC 3546-141-1,18.776,,,
TYC 3546-1405-1,1.404,,,
TYC 3546-1177-1,1.423,,,
TYC 3546-1037-1,3.975,,,
TYC 3545-2926-1,3.215,,,
TYC 3545-2756-1,2.84,,,
TYC 3545-2661-1,9.05,,,
TYC 3545-2636-1,7.311,,,
TYC 3545-2587-1,1.097,,,
TYC 3545-206-1,4.996,,,
TYC 3545-1673-1,18.827,,,
TYC 3545-1397-1,2.612,,,
TYC 3545-1179-1,1.747,,,
TYC 3545-1085-1,15.382,,,
TYC 3544-96-1,15.304,,,
TYC 3544-68-1,1.615,,,
TYC 3544-67-1,13.524,,,
TYC 3544-2720-1,9.999,,,
TYC 3544-261-1,7.162,,,
TYC 3544-2521-1,11.987,,,
TYC 3544-2446-1,2.021,,,
TYC 3544-2321-1,7.675,,,
TYC 3544-2289-1,1.102,,,
TYC 3544-2084-1,3.124,,,
TYC 3544-2081-1,1.739,,,
TYC 3544-1154-1,1.022,,,
TYC 3544-1122-1,6.331,,,
TYC 3544-1063-1,24.084,,,
TYC 3543-999-1,8.597,,,
TYC 3543-810-1,6.583,,,
TYC 3543-802-1,12.512,,,
TYC 3543-776-1,3.464,,,
TYC 3543-629-1,5.411,,,
TYC 3543-370-1,5.397,,,
TYC 3543-3100-1,19.7,,,
TYC 3543-3095-1,4.703,,,
TYC 3543-2942-1,3.245,,,
TYC 3543-290-1,1.515,,,
TYC 3543-2824-1,1.926,,,
TYC 3543-2518-1,2.921,,,
TYC 3543-2415-1,15.266,,,
TYC 3543-2387-1,1.314,,,
TYC 3543-23-1,1.173,,,
TYC 3543-1631-1,9.473,,,
TYC 3543-1210-1,5.895,,,
TYC 3542-87-1,23.01,,,
TYC 3542-604-1,6.243,,,
TYC 3542-364-1,10.917,,,
TYC 3542-346-1,1.427,,,
TYC 3542-2641-1,7.407,,,
TYC 3542-2333-1,9.262,,,
TYC 3542-2277-1,2.604,,,
TYC 3542-2140-1,7.498,,,
TYC 3542-2094-1,4.899,,,
TYC 3542-1826-1,1.708,,,
TYC 3542-1226-1,1.491,,,
TYC 3542-1223-1,1.372,,,
TYC 3542-1020-1,5.431,,,
TYC 3541-3338-1,15.179,,,
TYC 3541-30-1,13.865,,,
TYC 3541-2403-1,10.1,,,
TYC 3541-2393-1,4.414,,,
TYC 3541-2308-1,2.611,,,
TYC 3541-2014-1,2.414,,,
TYC 3541-1771-1,14.962,,,
TYC 3541-1611-1,1.226,,,
TYC 3541-1172-1,1.028,,,
TYC 3540-728-1,10.681,,,
TYC 3540-675-1,7.414,,,
TYC 3540-2662-1,15.317,,,
TYC 3540-2476-1,14.093,,,
TYC 3540-2440-1,21.201,,,
TYC 3540-2213-1,2.316,,,
TYC 3540-1568-1,3.389,,,
TYC 3540-1279-1,1.016,,,
TYC 3531-6-1,4.705,,,
TYC 3531-504-1,14.308,,,
TYC 3531-1243-1,6.515,,,
TYC 3531-1064-1,4.239,,,
TYC 3162-852-1,1.323,,,
TYC 3162-823-1,5.458,,,
TYC 3162-693-1,3.77,,,
TYC 3162-589-1,1.479,,,
TYC 3162-560-1,9.846,,,
TYC 3162-551-1,5.117,,,
TYC 3162-530-1,1.202,,,
TYC 3162-1733-1,1.001,,,
TYC 3162-1179-1,1.412,,,
TYC 3149-997-1,1.097,,,
TYC 3149-952-1,8.782,,,
TYC 3149-836-1,1.032,,,
TYC 3149-728-1,2.316,,,
TYC 3149-686-1,6.157,,,
TYC 3149-617-1,13.333,,,
TYC 3149-534-1,1.292,,,
TYC 3149-523-1,1.013,,,
TYC 3149-445-1,1.037,,,
TYC 3149-391-1,10.899,,,
TYC 3149-274-1,2.946,,,
TYC 3149-229-1,10.11,,,
TYC 3149-1782-1,3.827,,,
TYC 3149-1681-1,4.2,,,
TYC 3149-1428-1,6.492,,,
TYC 3149-139-1,10.666,,,
TYC 3149-1303-1,5.876,,,
TYC 3149-1222-1,16.948,,,
TYC 3149-1003-1,2.835,,,
TYC 3148-694-1,5.981,,,
TYC 3148-681-1,14.883,,,
TYC 3148-597-1,6.113,,,
TYC 3148-567-1,2.859,,,
