Name,vsini,e_vsini,prot,e_prot,e_prot(L),e_prot(U)
KOI-7605,3.9,1,,,,
KOI-760,1.2,1,,,,
KOI-7599,2.2,1,,,,
KOI-7587,2.9,1,,,,
KOI-7566,2.7,1,,,,
KOI-7395,132,106,,,,
KOI-7345,1.9,1,,,,
KOI-7276,154,24,,,,
KOI-7266,124,57,,,,
KOI-7263,236,111,,,,
KOI-7235,0.8,1,,,,
KOI-7223,3.1,1,,,,
KOI-7179,1.7,1,,,,
KOI-7139,264,18,,,,
KOI-7136,1.2,1,,,,
KOI-712,1.4,1,,,,
KOI-7087,181,29,,,,
KOI-7042,139,14,,,,
KOI-7040,7.7,1,,,,
KOI-704,1.8,1,,,,
KOI-7039,164,57,,,,
KOI-703,7.5,1,,,,
KOI-7025,240,42,,,,
KOI-6989,223,32,,,,
KOI-6981,3.9,1,,,,
KOI-6971,1.7,1,,,,
KOI-6927,1.9,1,,,,
KOI-6883,1.9,1,,,,
KOI-6871,249,40,,,,
KOI-687,4.5,1,,,,
KOI-686,1.3,1,,,,
KOI-684,2.7,1,,,,
KOI-683,1.4,1,,,,
KOI-6786,1.9,1,,,,
KOI-6759,2.5,1,,,,
KOI-6745,6.8,1,,,,
KOI-6734,2.1,1,,,,
KOI-6693,136,98,,,,
KOI-6676,26.4,1,,,,
KOI-6660,169,41,,,,
KOI-6648,140,44,,,,
KOI-6603,177,48,,,,
KOI-6578,282,21,,,,
KOI-6527,152,54,,,,
KOI-6525,289,49,,,,
KOI-650,0.8,1,,,,
KOI-6475,129,63,,,,
KOI-6457,319,71,,,,
KOI-644,1.6,1,,,,
KOI-6436,138,97,,,,
KOI-6427,210,74,,,,
KOI-6425,0.8,1,,,,
KOI-64,2,1,,,,
KOI-6384,1.3,1,,,,
KOI-636,133,72,,,,
KOI-6359,122,148,,,,
KOI-635,6,1,,,,
KOI-6296,201,174,,,,
KOI-6292,318,98,,,,
KOI-6266,270,73,,,,
KOI-6142,166,79,,,,
KOI-6134,144,34,,,,
KOI-6121,197,56,,,,
KOI-611,12.4,1,,,,
KOI-6102,11.8,1,,,,
KOI-6019,358,28,,,,
KOI-6017,125,112,,,,
KOI-6,11.8,1,,,,
KOI-5953,1.7,1,,,,
KOI-5949,0.7,1,,,,
KOI-5937,194,50,,,,
KOI-5932,1.3,1,,,,
KOI-5929,1.3,1,,,,
KOI-5924,1.5,1,,,,
KOI-5900,12.8,1,,,,
KOI-5888,1,1,,,,
KOI-5877,0.5,1,,,,
KOI-5869,3.3,1,,,,
KOI-5855,1.4,1,,,,
KOI-5852,0.9,1,,,,
KOI-5850,1.8,1,,,,
KOI-5837,2.1,1,,,,
KOI-5805,234,19,,,,
KOI-5798,1.4,1,,,,
KOI-5792,2.3,1,,,,
KOI-5790,2.1,1,,,,
KOI-5782,2.9,1,,,,
KOI-5702,2.9,1,,,,
KOI-5689,1.5,1,,,,
KOI-5659,152,28,,,,
KOI-5645,0.5,1,,,,
KOI-5626,2.4,1,,,,
KOI-5625,3.1,1,,,,
KOI-5617,197,33,,,,
KOI-5613,48.5,1,,,,
KOI-5612,0.5,1,,,,
KOI-5592,5.7,1,,,,
KOI-5567,3.4,1,,,,
KOI-5546,5,1,,,,
KOI-5423,2.5,1,,,,
KOI-5393,3.6,1,,,,
KOI-5380,0,1,,,,
KOI-5379,3.4,1,,,,
KOI-5375,5.3,1,,,,
KOI-5370,158,50,,,,
KOI-5324,3.5,1,,,,
KOI-5293,150,42,,,,
KOI-5290,0.9,1,,,,
KOI-5284,1.6,1,,,,
KOI-5278,11.6,1,,,,
KOI-5269,1.7,1,,,,
KOI-5247,2.8,1,,,,
KOI-5241,2.6,1,,,,
KOI-5236,3,1,,,,
KOI-5216,0.8,1,,,,
KOI-5198,0.8,1,,,,
KOI-5165,130,27,,,,
KOI-5159,4.4,1,,,,
KOI-5153,142,53,,,,
KOI-5135,3.1,1,,,,
KOI-5124,0.8,1,,,,
KOI-5119,3.8,1,,,,
KOI-5107,3.7,1,,,,
KOI-5085,0.9,1,,,,
KOI-5057,3,1,,,,
KOI-5048,3,1,,,,
KOI-5039,1.7,1,,,,
KOI-5021,1.5,1,,,,
KOI-5018,1.5,1,,,,
KOI-4978,1.9,1,,,,
KOI-4961,2.8,1,,,,
KOI-4941,4.5,1,,,,
KOI-4907,2.9,1,,,,
KOI-4902,3.6,1,,,,
KOI-4898,0.3,1,,,,
KOI-4892,2.7,1,,,,
KOI-4887,4.8,1,,,,
KOI-4881,9.4,1,,,,
KOI-4864,2.9,1,,,,
KOI-4850,1.4,1,,,,
KOI-4841,2.7,1,,,,
KOI-4839,3.2,1,,,,
KOI-4834,3.1,1,,,,
KOI-4833,2.3,1,,,,
KOI-4829,3,1,,,,
KOI-4822,2.6,1,,,,
KOI-4811,2.7,1,,,,
KOI-4792,2.7,1,,,,
KOI-4775,2.9,1,,,,
KOI-4774,1.5,1,,,,
KOI-4773,6.1,1,,,,
KOI-4771,10.7,1,,,,
KOI-4763,3.5,1,,,,
KOI-4746,4.6,1,,,,
KOI-4744,3.2,1,,,,
KOI-4725,2.8,1,,,,
KOI-4717,0.3,1,,,,
KOI-4716,4.7,1,,,,
KOI-4715,8.3,1,,,,
KOI-4699,5,1,,,,
KOI-4686,3.8,1,,,,
KOI-4681,122,87,,,,
KOI-4674,1.4,1,,,,
KOI-4669,139,84,,,,
KOI-4665,2.3,1,,,,
