Name,prot,e_prot
KIC 9715138,19.984,0.74
KIC 3832631,19.98,0.242
KIC 10803272,19.974,0.057
KIC 3935471,19.959,0.531
KIC 9790574,19.958,0.224
KIC 9112164,19.957,0.557
KIC 3113947,19.955,0.267
KIC 11515432,19.955,0.113
KIC 5513074,19.954,0.035
KIC 10844973,19.954,0.684
TYC 3145-75-1,19.953,3.52
KIC 5446798,19.947,0.22
KIC 8278688,19.935,0.118
KIC 8143909,19.929,0.083
KIC 7612042,19.925,0.086
KIC 8949663,19.918,0.1
KIC 7916838,19.918,0.043
KIC 4246911,19.912,0.046
KIC 11858611,19.905,0.039
KIC 5646001,19.892,0.084
KIC 9410888,19.89,0.021
KIC 5962714,19.887,0.064
KIC 10292554,19.882,0.398
KIC 3533948,19.871,0.39
KIC 5295061,19.865,0.145
KIC 10729876,19.863,0.027
KIC 9491750,19.861,0.872
KIC 4918333,19.854,0.033
KIC 10666889,19.852,0.037
KIC 11619189,19.846,0.037
KIC 9602495,19.845,0.202
KIC 8086398,19.842,0.007
KIC 7978865,19.84,0.106
KIC 9594747,19.839,0.062
KOI-6987,19.838,0.1
KIC 6779279,19.836,0.35
KIC 11025991,19.833,0.133
KIC 8308152,19.826,0.042
KIC 9032388,19.825,0.092
KIC 8629795,19.823,0.095
KIC 8218687,19.821,0.068
KIC 11127052,19.821,0.085
KIC 5089301,19.816,0.663
KIC 10861064,19.799,0.085
Kepler-1634,19.794,0.177
KIC 10328903,19.793,0.056
KIC 8107835,19.791,0.098
KIC 9726032,19.788,0.233
KIC 4999366,19.787,1.095
KIC 7530483,19.777,0.221
KIC 6286278,19.775,0.158
KIC 6442683,19.774,0.499
KIC 6852071,19.767,0.08
KIC 8441730,19.764,0.13
KIC 7810773,19.764,0.098
KIC 7294817,19.764,0.108
KIC 4282463,19.753,0.058
KIC 7037739,19.746,0.312
KIC 5221138,19.743,0.784
KIC 9632432,19.742,0.23
KIC 2694414,19.741,0.2
KIC 11656828,19.741,0.107
KIC 6192338,19.737,0.063
KIC 5212948,19.734,0.014
KIC 9333840,19.73,0.207
KIC 11764055,19.728,0.05
KIC 3628371,19.721,0.051
KIC 3834169,19.71,0.071
KIC 2575518,19.708,0.112
KIC 5530420,19.706,0.099
KIC 12214387,19.705,0.086
KIC 6767897,19.704,0.031
KIC 7686806,19.701,0.075
KIC 9388493,19.69,0.036
KIC 10517766,19.688,3.221
KIC 6350563,19.685,0.069
KIC 5811352,19.681,0.06
KIC 6452389,19.673,0.019
KIC 10296186,19.672,0.106
KIC 9765973,19.667,0.058
KIC 5386327,19.666,0.064
KIC 11910301,19.666,0.06
KIC 4174461,19.657,0.045
KIC 5793463,19.648,0.365
KIC 7200935,19.64,0.084
KIC 3940372,19.64,0.073
KIC 2991809,19.64,0.136
KIC 7900436,19.634,0.946
KIC 7867585,19.633,0.014
KIC 11097224,19.631,0.413
